Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Subcategory,Search Locality
Today Empire,"Plot no 28, Sector-25, Komothe, Khandeshhwar, TODAY EMPIRE, Sector-25, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,4.1,191,"service, association_or_organization, point_of_interest, establishment",19.010620799999998,73.0990429,localisy020981,ChIJKdeJjy3o5zsRiG-OKY0wT90,photos\localisy20992_1.jpg,,,,,Digital & Technology,App Development,Kamothe
सुवर्णदुर्ग प्रभाग समिती ‘क’ कार्यालय Office Kamothe,"1B, Sector 11, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,5,1,"government_office, point_of_interest, establishment",19.021175,73.090175,localisy020982,ChIJTYXJIgDp5zsRPmXWUS56SuM,photos\localisy20994_1.jpg,,,,,Government & Public Services,Government Offices,Kamothe
BJP Office Kamothe,"12/13, Kamothe Marg, Jui-Kamothe Sector - 36, Sector 7, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,4.7,28,"point_of_interest, association_or_organization, establishment",19.0242412,73.09184379999999,localisy020983,ChIJg0tvZtfp5zsRMNlzk81pCmY,,,,,,Government & Public Services,Government Offices,Kamothe
Kamothe office,"shop Number 8, sai Darshan Building, Sector 19, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,8850631414,5,1,"corporate_office, point_of_interest, establishment",19.012449399999998,73.0932947,localisy020984,ChIJnxOG_dTp5zsRlHpamF6G_sE,,,,,,Government & Public Services,Government Offices,Kamothe
Maha E-seva Hami Kendra,"Shop No 3, Ganga Tower, Plot No 223/224, Sector 21, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,,,"government_office, point_of_interest, establishment",19.0151774,73.098598,localisy020985,ChIJk1mTTQDp5zsR9hcl05EZNa8,photos\localisy21003_1.jpg,,,,,Government & Public Services,Government Offices,Kamothe
Water Supply Office Kamothe,"no, Sector 34, Kamothe, Mansarovar, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,1.9,7,"government_office, point_of_interest, establishment",19.0225655,73.0947505,localisy020986,ChIJAQAA3NDp5zsR7j9lvIeKXJk,,,,,,Government & Public Services,Government Offices,Kamothe
SK lottery kamothe,"238R+VCG, Sector 14, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,5,2,"government_office, point_of_interest, establishment",19.0171815,73.0910796,localisy020987,ChIJlyKzd6rp5zsReNcw__baPyA,,,,,,Government & Public Services,Government Offices,Kamothe
"Central GST Raigad Division & Commissionerate, Mumbai Zone","Kendriy Utpad Shulk Bhavan, Plot no 1, Sector 17, Khanda Colony, Panvel, Maharashtra 410206, India",,Panvel,Panvel,Maharashtra,410206,,4.1,32,"government_office, point_of_interest, establishment",19.006673199999998,73.1069759,localisy020988,ChIJn7KS5zbo5zsRD2e0sZ6CLMk,photos\localisy08269_1.jpg,,,,,Government & Public Services,Government Offices,Kamothe
Happy Singh KJ Documents Maker,"Pratham Heritage, B 702, Sector 19, Kamothe, Panvel, Mumbai, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,9702454432,3.7,3,"government_office, point_of_interest, establishment",19.013006999999998,73.0925443,localisy020989,ChIJndPcd-7p5zsR3RrCWjHFB3M,,,,,,Government & Public Services,Government Offices,Kamothe
Tuljabhavani Enterprises,"Shop No 21, Gangadhar Complex, Plot No 3, Jui-Kamothe Sector - 36, Sector 7, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,8655515157,3.5,8,"local_government_office, government_office, point_of_interest, establishment",19.021922099999998,73.0920204,localisy020990,ChIJBeDo39bp5zsRfBlvKfsWB8c,photos\localisy21012_1.jpg,,,,,Government & Public Services,Government Offices,Kamothe
Sg Associates,"Shop 12, Ram Heritage, Sector 11, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,9076227686,,,"local_government_office, government_office, point_of_interest, establishment",19.0202699,73.0915816,localisy020991,ChIJx6rKx-zp5zsR_JAdurUhinc,photos\localisy21014_1.jpg,,,,,Government & Public Services,Government Offices,Kamothe
MSED Light Bill Payment Kamothe,"239Q+9GH, Sector 12, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,3,2,"government_office, point_of_interest, establishment",19.018436899999998,73.0888532,localisy020992,ChIJp6UWuILp5zsRbjMk1A13jt4,,,,,,Government & Public Services,Government Offices,Kamothe
Service Tax Division-IX,"plot 1, Old VSNL Colony, Sector - 17, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,7666209777,3,2,"local_government_office, accounting, government_office, finance, point_of_interest, service, establishment",19.0154016,73.0873817,localisy020993,ChIJVVVVgX_C5zsRUcEnbiZyApQ,,,,,,Government & Public Services,Government Offices,Kamothe
"Prabhag Samiti Karyalay, Panvel Mahanagar Palika","238R+P5R, Sector 14, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,,,"government_office, point_of_interest, establishment",19.016822599999998,73.0904947,localisy020994,ChIJO0lMOQDp5zsRXVvSTU8V0qE,photos\localisy21018_1.jpg,,,,,Government & Public Services,Government Offices,Kamothe
Executive Engineer Kamothe Node Cidco,"237P+MMC, Unnamed Road, Sector - 32, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,,,"government_office, point_of_interest, establishment",19.014198,73.0866424,localisy020995,ChIJAVRCswzD5zsRGxg99Hjot60,photos\localisy21019_1.jpg,,,,,Government & Public Services,Government Offices,Kamothe
Kamothe post Office,"43, Plot 42, Sion - Panvel Hwy, near Venkat Hotel, Sector 6A, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,3.1,16,"post_office, shipping_service, government_office, finance, association_or_organization, point_of_interest, service, establishment",19.023670799999998,73.0963001,localisy020996,ChIJTW9RfQDp5zsRAH4o4M5edzw,photos\localisy18469_1.jpg,,,,,Government & Public Services,Government Offices,Kamothe
"Tehsildar and Executive Magistrate's Office, Panvel","X4W4+282, Banglow Society, Old Panvel, Panvel, Maharashtra 410206, India",,Panvel,Panvel,Maharashtra,410206,,2.5,83,"government_office, point_of_interest, establishment",18.995021299999998,73.1057776,localisy020997,ChIJ5-ozzxTo5zsRGwKOJoe1a1w,photos\localisy08260_1.jpg,,,,,Government & Public Services,Government Offices,Kamothe
MSEB Substation (Power House),"No.44, Plot, Sector 9, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,1.6,50,"point_of_interest, establishment",19.019843899999998,73.0972134,localisy020998,ChIJNSZAhtHp5zsRUNvMnsS38oc,photos\localisy21023_1.jpg,,,,,Government & Public Services,Government Offices,Kamothe
ZP Goverment hospital new,"239W+Q75, Sector 9, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,,,"government_office, point_of_interest, establishment",19.019381499999998,73.0957485,localisy020999,ChIJMSRwWpbp5zsRPnj6L0PJJ38,photos\localisy21024_1.jpg,,,,,Government & Public Services,Government Offices,Kamothe
Kamothe Police Station,"Kamothe Marg, near Juhi Garden, Jui-Kamothe Sector - 36, Sector 7, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,,,"police, government_office, point_of_interest, service, establishment",19.022307899999998,73.0909875,localisy021000,ChIJvd2CBtfp5zsR-891Z-uzzlI,photos\localisy08468_1.jpg,,,,,Government & Public Services,Government Offices,Kamothe
Cidco water tank,"Sector 8, plot no.1cidco water tank, Sector 11, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,1,1,"government_office, point_of_interest, establishment",19.0207277,73.0926314,localisy021001,ChIJIb5REYDp5zsRjaXL0zqCzIs,,,,,,Government & Public Services,Government Offices,Kamothe
Panvel mahanagar Palika prabhag samiti (k) kamothe word no 11 swachta nirikshak ( karyalay),"23CV+GJC, Sector 8, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,,,"government_office, point_of_interest, establishment",19.0213036,73.0940195,localisy021002,ChIJu4PqBgDp5zsR3Rx4wyhEgE4,,,,,,Government & Public Services,Government Offices,Kamothe
SP Pankesh Electrician & CCTV Services,"Sector 20, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,7039612728,5,17,"electrician, point_of_interest, service, establishment",19.016622299999998,73.0966019,localisy021003,ChIJBXZRLr7p5zsRluMjhYBzsr0,photos\localisy21032_1.jpg,,,,,Government & Public Services,Utility Services,Kamothe
Ved Enterprises,"Sai prerna Apartment, Plot no 28, Sector 5, Kamothe, Panvel, Maharashtra 410206, India",,Panvel,Panvel,Maharashtra,410206,9870667195,5,26,"electrician, point_of_interest, service, establishment",19.0210249,73.0970018,localisy021004,ChIJbdOvGwnp5zsRyGN58ZJ8OjY,photos\localisy21035_1.jpg,,,,,Government & Public Services,Utility Services,Kamothe
Kamothe sewage Treatment Plant,"237P+JJ2, Sector - 32, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,2.7,3,"manufacturer, point_of_interest, service, establishment",19.0140223,73.0865247,localisy021005,ChIJw2NYFm7D5zsRt_JpBPkNzTk,photos\localisy21041_1.jpg,,,,,Government & Public Services,Utility Services,Kamothe
Shivam Electricals sales and services,"Balaji bhakti, shop no 08, Plot No-18, CHS, Sector 11, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,9594266459,5,7,"electrician, point_of_interest, service, establishment",19.019363000000002,73.0908383,localisy021006,ChIJMbdy71np5zsRurBeYzEsSgI,photos\localisy21043_1.jpg,,,,,Government & Public Services,Utility Services,Kamothe
Hariom Electricals Company,"Shop No 01, plot no. 27, Sector 22, Phase II, Sector 22, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,9167273417,5,3,"electrician, consultant, supplier, manufacturer, point_of_interest, service, establishment",19.0134102,73.10045190000001,localisy021007,ChIJl5srvq_p5zsRQYFUmTDjNTs,photos\localisy21044_1.jpg,,,,,Government & Public Services,Utility Services,Kamothe
Best Services,"Office No.25, Plot No-31, Sector 18, Kamothe, Panvel, Navi Mumbai, Mumbai, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,9692088676,4.8,8,"electrician, point_of_interest, service, establishment",19.013006999999998,73.0925443,localisy021008,ChIJIamJ-gzp5zsRh_Y7CQ78xhA,photos\localisy03154_1.jpg,,,,,Government & Public Services,Utility Services,Kamothe
Service Point,"11, Sector-25, Kamothe, Panvel, Mumbai, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,7900140069,2.8,9,"electrician, point_of_interest, service, establishment",19.0102515,73.0983881,localisy021009,ChIJkypEly3o5zsRfhk5pjbEUYo,photos\localisy21047_1.jpg,,,,,Government & Public Services,Utility Services,Kamothe
Anjali Enterprises,"shop : 11, soormalher complex, Plot No - 43, Nirmala CHS, Sector 36, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,9152031462,,,"point_of_interest, service, establishment",19.024112,73.0886687,localisy021010,ChIJjaLr00Dp5zsRLdLqP1fAGdk,photos\localisy21055_1.jpg,,,,,Government & Public Services,Utility Services,Kamothe
MG Transformer Services & Supplies,"Suryadarshan Residency, Plot No. 42/43, Sector 20, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,8898517528,,,"point_of_interest, service, establishment",19.0174883,73.0967098,localisy021011,ChIJO4LIGlXp5zsRKOuWlETFv2I,photos\localisy21056_1.jpg,,,,,Government & Public Services,Utility Services,Kamothe
