Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Subcategory,Search Locality
AHAD TECHNOLOGY,"Shop No 1, Plot No 23, Matri Vatika CHS, Taloja Phase 1 Rd, Petali, Sector 2, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,7498284504,5,3,"service, point_of_interest, establishment",19.080330099999998,73.08989389999999,localisy011961,ChIJFRSWKJ3r5zsR8Oe1TQolMEY,photos\localisy02675_1.jpg,,,,,Home Services,CCTV & Security Installers,Taloja
Shree laxmi mobile,"Shop no 13, dhanshree chs, Block G, Sector 13, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,9772454332,5,7,"store, point_of_interest, establishment",19.044339700000002,73.0717629,localisy011962,ChIJdUvyYRDD5zsRBLsZvKAZEoE,photos\localisy02676_1.jpg,,,,,Home Services,CCTV & Security Installers,Taloja
"Bhagat Enterprises - CCTV Camera Installation, WIFI Access Point, Lan Network, Wireless Setup, Attendance MC, EM Lock, VPN","Shop No. 6, Kisan Market, Sector-9, New Panvel East, Panvel, Maharashtra 410206, India",,Panvel,Panvel,Maharashtra,410206,,5,10,"point_of_interest, service, establishment",19.0022664,73.12137129999999,localisy011963,ChIJG9snioXp5zsRFnmo_D7363k,photos\localisy02410_1.jpg,,,,,Home Services,CCTV & Security Installers,Taloja
SourceTech cctv & It,"Shop no 02B , Skytech Darshan Chs, Plot No 53, Sector R4, Karanjade R4 Karanjade, Vadghar, Panvel, Vadghar, Maharashtra 410206, India",,Panvel,Panvel,Maharashtra,410206,8779919513,5,5,"point_of_interest, service, establishment",18.9870748,73.0969202,localisy011964,ChIJ1VXJmofp5zsRb49GF1qaLkw,photos\localisy02408_1.jpg,,,,,Home Services,CCTV & Security Installers,Taloja
OM SAI CCTV TECHNOLOGY PVT LTD,"AT, Kewale, New Panvel, Maharashtra 410206, India",,Panvel,Panvel,Maharashtra,410206,,5,3,"point_of_interest, service, establishment",19.0216139,73.15814,localisy011965,ChIJO3WO8EDp5zsR4rKbuFJckQ4,photos\localisy02415_1.jpg,,,,,Home Services,CCTV & Security Installers,Taloja
Omkar Cctv And Security Systems,"306, Shanaishwar Appt, Tapal Naka, Mominpada, Old Panvel, Panvel, Maharashtra 410206, India",,Panvel,Panvel,Maharashtra,410206,,,,"point_of_interest, establishment",18.9842174,73.1100421,localisy011966,ChIJTcDfyLnp5zsRJQqbY3naWdM,photos\localisy02412_1.jpg,,,,,Home Services,CCTV & Security Installers,Taloja
SHRI INFOTECH COMPUTER & SYSTEMS,"Shop No.21, Shelter Riverside, Sector 14 Rd, Taloja Phase 1, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9892366143,4.9,168,"electronics_store, point_of_interest, store, establishment",19.075477499999998,73.0944617,localisy011967,ChIJQ_VgJDDr5zsRG1x9x6wN2gc,photos\localisy16359_1.jpg,,,,,Home Services,CCTV & Security Installers,Taloja
PK SURVEILLANCE SYSTEM,"Adhimaya Niwas, Plot No 62 63, near Bhagirathi Sadan, Sector 15A, New Panvel East, Panvel, Maharashtra 410206, India",,Panvel,Panvel,Maharashtra,410206,,5,2,"point_of_interest, service, establishment",18.992012799999998,73.125141,localisy011968,ChIJUZRrGXnp5zsRiGp0YU7ty-Q,photos\localisy02411_1.jpg,,,,,Home Services,CCTV & Security Installers,Taloja
SANGEETA SECURITY,"Gangadhar complex sector 07, plot no 03 Shop, no 06, Jui-Kamothe Sector - 36, Sector 7, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,8108767571,2.9,15,"point_of_interest, store, service, establishment",19.0216615,73.0918918,localisy011969,ChIJ__9j99Dp5zsRrq_TqKrKONs,photos\localisy02457_1.jpg,,,,,Home Services,CCTV & Security Installers,Taloja
Packers and Movers Taloja,"Shop No 02, Petali, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9930232014,5,11,"transportation_service, point_of_interest, establishment",19.0761698,73.094101,localisy011970,ChIJ256nB-Hr5zsRhOD_XeAheVM,,,,,,Home Services,Movers & Packers,Taloja
