Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Search Locality
Brew House Cafe,"4, Arenja Plaza, Plot No: 52, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 98338 21515,4.3,2686,"cafe, point_of_interest, food, establishment",19.009949499999998,73.0326412,localisy000001,ChIJT039joLD5zsRNrzflOzFmYE,photos\localisy09589_1.jpg,,,,,Cafes,CBD Belapur
Coffee By Di Bella Belapur,"Shop 1, Sai Radiance, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 91671 99555,4.2,731,"coffee_shop, cafe, food_store, store, point_of_interest, food, establishment",19.0074199,73.0346244,localisy000002,ChIJNfHKwb7D5zsRejnubAcfGzE,photos\localisy00017_1.jpg,,,,,Cafes,CBD Belapur
Earth Soul Cafe,"Shop No. 13, Progressive's Sea Lounge, Plot No.44, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 96194 09696,4.7,2585,"cafe, coffee_shop, tea_store, salad_shop, sandwich_shop, dessert_restaurant, food_store, store, restaurant, point_of_interest, food, establishment",19.006477,73.0330764,localisy000003,ChIJ1zAuK9PD5zsRuKIoOUPuW2A,photos\localisy03256_1.jpg,,,,,Cafes,CBD Belapur
Panache,"Shop no 24-26, Belapur Sun City, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 91377 71859,4.5,967,"coffee_shop, cafe, food_store, store, point_of_interest, food, establishment",19.0080593,73.03554249999999,localisy000004,ChIJt1S50IrD5zsR63LOx-2sDb0,photos\localisy00043_1.jpg,,,,,Cafes,CBD Belapur
Communion Cafe,"Plot No. 50, Ground Floor, D Y Patil University, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 89286 66902,4.1,687,"cafe, point_of_interest, food, establishment",19.0083244,73.0332827,localisy000005,ChIJ7a4tr9jD5zsROobBqsDHzhM,photos\localisy00005_1.jpg,,,,,Cafes,CBD Belapur
Love & Latte CBD Belapur,"1, Ground Flr, Ellora Castle, Plot 77, Gopinath Panda Patil Marg, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 98193 16661,4.1,294,"cafe, coffee_shop, breakfast_restaurant, tea_store, pastry_shop, dessert_shop, bakery, confectionery, food_store, store, restaurant, point_of_interest, food, establishment",19.008004,73.0364713,localisy000006,ChIJ-6k7Ld7D5zsR3IG-jjIVLQQ,photos\localisy00006_1.jpg,,,,,Cafes,CBD Belapur
Bites & Brew The Fusion Café,"Shop no.4,5,6, Everest Heights, Parsik Hill, Sector 26, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 90824 92524,4.3,117,"cafe, point_of_interest, food, establishment",19.023695000000004,73.0317656,localisy000007,ChIJVWz_0M_D5zsRAd2hHMu9r7Y,photos\localisy00007_1.jpg,,,,,Cafes,CBD Belapur
Cafe Matunga,"Shop no 30, Sai Vihar Building, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 22 4518 3939,4.7,642,"cafe, south_indian_restaurant, indian_restaurant, restaurant, point_of_interest, food, establishment",19.0088342,73.0371613,localisy000008,ChIJQ978zTjD5zsRqS7XQS08-jc,photos\localisy00032_1.jpg,,,,,Cafes,CBD Belapur
Sailors' Cafe,"Sailors' Cafe, Shop no.9 CHS Belle Vista, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 91376 86834,4.4,1320,"cafe, coffee_shop, pizza_restaurant, italian_restaurant, night_club, karaoke, performing_arts_theater, bar, event_venue, food_store, indian_restaurant, store, restaurant, point_of_interest, food, establishment",19.0070457,73.0336617,localisy000009,ChIJnUAsRQfD5zsRr1CnNED_Noc,photos\localisy09607_1.jpg,,,,,Cafes,CBD Belapur
"Quattro Bistro, Belapur","SHOP 5, Quattro Bistro, Sai Radiance, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 98674 52246,4.3,207,"cafe, italian_restaurant, mexican_restaurant, restaurant, point_of_interest, food, establishment",19.007597,73.0348603,localisy000010,ChIJ--ResHXD5zsRzpIdLj1BJvw,photos\localisy00010_1.jpg,,,,,Cafes,CBD Belapur
