stateId,stateName,cityId,cityName,localityId,localityName,areaId,areaName,pincode
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-11-400614,Sector 11,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-14-400614,Sector 14,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-20-400614,Sector 20,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-15-400614,Sector 15,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-29-400614,Sector 29,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-26-400614,Sector 26,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-19-400614,Sector 19,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-8-400614,Sector 8,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-6-400614,Sector 6,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-cbd-belapur-400614,CBD Belapur,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-12-400614,Sector 12,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-1-400614,Sector 1,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-5-400614,Sector 5,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-13-400614,Sector 13,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-4-400614,Sector 4,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-2-400614,Sector 2,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-sector-1a-400614,Sector 1A,400614
mh,Maharashtra,navimumbai,Navi Mumbai,cbd-belapur,CBD Belapur,cbd-belapur-belpada-400614,Belpada,400614
