Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Subcategory
New Abdul Chicken Shop,"Shop No 6, L.Sanjay Kumar Gorad Marg, Panchratna Society, Sector 16A, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 16A,Nerul,Navi Mumbai,Maharashtra,400706,+91 93219 69660,5,2,"grocery_store, food_store, store, food, point_of_interest, establishment",19.0358652,73.0115895,localisy17837,ChIJc7TdufLD5zsRC7gpTObUVCE,,,,,,Meat & Poultry Shops,
M N Chicken(bromark chicken),"Venky's Dealer Advent, Sector 4E, Kalamboli, Panvel, Maharashtra 410218, India",Sector 4E,Kalamboli,Panvel,Maharashtra,410218,+91 99300 56966,4.3,37,"butcher_shop, manufacturer, food_store, store, food, point_of_interest, service, establishment",19.0287929,73.1024144,localisy17840,ChIJO1zj_sTp5zsRtm25bDbrrQw,photos\localisy10185_1.jpg,,,,,Meat & Poultry Shops,
WELCOME CHICKEN AND EGGS CENTER,"Shop No 6, Shree Durga Apartment, near TIRUPATI COMPLEX, Sector 1E, Kalamboli, Panvel, Maharashtra 410218, India",Sector 1E,Kalamboli,Panvel,Maharashtra,410218,+91 98927 86810,5,2,"butcher_shop, manufacturer, food_store, store, food, point_of_interest, service, establishment",19.0240834,73.10276580000001,localisy19111,ChIJwx1EAszp5zsRNM8RkMSFsl4,photos\localisy10197_1.jpg,,,,,Meat & Poultry Shops,
Salman Chicken Shop,"Shop No 08, Sector 1E, Kalamboli, Panvel, Maharashtra 410218, India",Sector 1E,Kalamboli,Panvel,Maharashtra,410218,+91 88795 06628,4.8,6,"food_store, store, food, point_of_interest, establishment",19.024072,73.1026196,localisy19112,ChIJNVQgCs_p5zsR9y4P3u4e7ZY,,,,,,Meat & Poultry Shops,
Soumitrs poultry farm,"Panvel, Navi Mumbai, Nere, Maharashtra 410206, India",Panvel,Panvel,Panvel,Maharashtra,410206,+91 81081 26092,4.5,48,"ranch, farm, manufacturer, food, point_of_interest, service, establishment",19.0059573,73.1773536,localisy19113,ChIJl3zFmVXp5zsRfnw7LwR8nk0,photos\localisy10170_1.jpg,,,,,Meat & Poultry Shops,
Pir Karam Ali Shah Chicken Shop,"X4Q4+PPP, Jalal Shah Baba road, Old Panvel, Panvel, Maharashtra 410206, India",Jalal Shah Baba road,Panvel,Panvel,Maharashtra,410206,+91 84548 05311,,,"ranch, farm, manufacturer, service, food, point_of_interest, establishment",18.9893313,73.106842,localisy19124,ChIJn3TqyRXo5zsRSLJO0l3paMU,,,,,,Meat & Poultry Shops,
Metro Chemist,"Shop no 4/5 Ambika heritage plot no 63 sector 17, Roadpali, Kalamboli, Panvel, Kalamboli, Panvel, Maharashtra 410218, India",Panvel,Roadpali,Panvel,Maharashtra,410218,+91 72718 32222,4.8,79,"pharmacy, drugstore, health, store, point_of_interest, establishment",19.0386994,73.0961927,localisy00921,ChIJwQz_NkLp5zsRWS68GU67gxE,photos\localisy00456_1.jpg,,,,,Medical Stores,
Shilpa Medical & General Store,"Sector 1, Kalamboli, Panvel, Maharashtra 410218, India",Sector 1,Kalamboli,Panvel,Maharashtra,410218,+91 93222 28706,4.1,157,"pharmacy, health, store, point_of_interest, establishment",19.0249338,73.1011815,localisy00923,ChIJ2T9-jc_p5zsRlltMa5sbkmI,photos\localisy10976_1.jpg,,,,,Medical Stores,
Chetna Medical & General Stores,"Shop No 6 Plot No 49 Sector 17 Kalamboli Navi Mumbai, Roadpali, Kalamboli, Panvel, Mumbai, Panvel, Maharashtra 410218, India",Panvel,Roadpali,Panvel,Maharashtra,410218,+91 70149 63142,4.6,8,"drugstore, pharmacy, health, store, point_of_interest, establishment",19.038623,73.0944809,localisy00926,ChIJuT_8Jefp5zsRPWg6L9GhICc,photos\localisy00460_1.jpg,,,,,Medical Stores,
"Wellness Forever Pharmacy - New Panvel East, Panvel","Shop no. 1 & 2, plot 9 & 11, Vijay Rd, Sector 19, New Panvel East, Panvel, Maharashtra 410206, India",Sector 19,Panvel,Panvel,Maharashtra,410206,+91 86559 40491,3.5,82,"drugstore, convenience_store, pharmacy, food_store, store, health, point_of_interest, food, establishment",18.9956408,73.1194996,localisy01869,ChIJYx0wTULo5zsRvr7zRThy6c0,photos\localisy00967_1.jpg,,,,,Medical Stores,
Balaji medical,"shop no.4, om amit chs, plot no.157, 159, Shivaji Rd, Old Panvel, Panvel, Maharashtra 410206, India",Shivaji Rd,Panvel,Panvel,Maharashtra,410206,+91 83560 06080,4.4,10,"pharmacy, store, health, point_of_interest, establishment",18.990936,73.1143019,localisy01872,ChIJl-fm3Wro5zsRGuF99uEcrH0,photos\localisy00968_1.jpg,,,,,Medical Stores,
Shree Yogeshwar Medical and General Stores,"Shop No.3, Amit Apartment, Shivaji Rd, near S.T. Depot, opposite Ketaki Hotel, Old Panvel, Panvel, Maharashtra 410206, India",opposite Ketaki Hotel,Panvel,Panvel,Maharashtra,410206,+91 98204 44602,3.6,7,"pharmacy, store, health, point_of_interest, establishment",18.9909578,73.1143982,localisy01876,ChIJsW3ZX2ro5zsR-tEJy4oucXE,photos\localisy00969_1.jpg,,,,,Medical Stores,
Healthcare Chemist,"Shop Number 196/1, Dr. Patwardhan Hospital, C/O, Ambedkar Rd, near Chhatrapati Shivaji Maharaj Chowk, Old Panvel, Panvel, Maharashtra 410206, India",near Chhatrapati Shivaji Maharaj Chowk,Panvel,Panvel,Maharashtra,410206,+91 99308 25050,5,2,"drugstore, pharmacy, store, health, point_of_interest, establishment",18.9888992,73.1131667,localisy01878,ChIJJTXQG2vo5zsRffbwH0706mQ,,,,,,Medical Stores,
Arsalan Medical,"Shop Number 2, Patel Building, Patel Mohala, Old Panvel, Panvel, Maharashtra 410206, India",Patel Mohala,Panvel,Panvel,Maharashtra,410206,+91 92222 65444,5,6,"pharmacy, store, health, point_of_interest, establishment",18.9861789,73.10708149999999,localisy01883,ChIJG48slDPp5zsR2KMTRZIjV04,photos\localisy00971_1.jpg,,,,,Medical Stores,
